user_id,action_date,action_name,error_message,device,type_of_purchase
7106,2022-11-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
7179,2022-08-31,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
7278,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
7347,2022-11-28,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
7488,2022-07-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
7620,2022-11-21,checkout_monthly_completepayment.click.fail,"Your card does not support this type of purchase.",desktop,"monthly package"
7752,2022-10-20,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
7975,2022-12-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
8191,2022-07-09,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
8765,2022-07-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
8877,2022-12-29,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
9061,2022-08-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
9100,2023-01-19,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
9169,2022-08-31,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
9289,2022-09-21,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
9666,2022-07-06,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
10051,2022-12-02,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
10218,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
10313,2022-09-02,checkout_monthly_completepayment.click.fail,"State field is required",desktop,"monthly package"
10905,2022-11-26,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
10990,2022-12-29,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
11070,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
11327,2022-08-30,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
11717,2022-11-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
11793,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
12003,2022-07-02,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
12064,2022-11-30,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
12205,2022-11-21,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
12270,2022-08-31,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
12589,2022-12-20,checkout_annual_completepayment.click.fail,"An error occurred while processing your card. Try again in a little bit.",desktop,"annual package"
12900,2022-08-04,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
12930,2022-11-21,checkout_monthly_completepayment.click.fail,"number field is required",desktop,"monthly package"
13344,2022-07-28,checkout_annual_completepayment.click.fail,"Your card is not supported for this currency. Please use a Visa or MasterCard card",desktop,"annual package"
13501,2022-08-31,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile,"annual package"
13695,2022-11-28,checkout_annual_completepayment.click.fail,"month field is required",desktop,"annual package"
14357,2022-09-19,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
14470,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
14491,2022-10-21,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
14514,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
14825,2022-12-19,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
15496,2022-11-04,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
15501,2022-11-02,checkout_coins_completepayment.click.fail,"number field is required",desktop,"single course"
15630,2022-11-28,checkout_annual_completepayment.click.fail,"month field is required",desktop,"annual package"
15748,2022-07-28,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile,"annual package"
16589,2023-01-12,checkout_quarterly_completepayment.click.success,NULL,desktop,"quarterly package"
16647,2022-11-20,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
16979,2022-11-28,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
17780,2022-08-18,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
17823,2022-10-20,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
18005,2022-11-21,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop,"monthly package"
18049,2022-07-18,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
18288,2022-09-25,checkout_annual_completepayment.click.fail,"lastName field is required",mobile,"annual package"
18493,2022-11-05,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
18531,2022-10-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
18533,2022-11-27,checkout_annual_completepayment.click.fail,"month field is required",desktop,"annual package"
19137,2022-11-28,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop,"annual package"
19193,2022-09-23,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
19677,2022-07-15,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
19784,2022-12-21,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
20664,2022-09-10,checkout_quarterly_completepayment.click.fail,"Your card was declined.",desktop,"quarterly package"
21603,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
21966,2022-10-20,checkout_annual_completepayment.click.fail,"month field is required",mobile,"annual package"
22842,2022-11-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
22887,2022-11-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
23287,2022-10-26,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
24414,2023-01-20,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
24540,2022-12-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
24687,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
24911,2022-08-18,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
25047,2022-07-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
25813,2022-11-22,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
27180,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
27453,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
28960,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
29545,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
30047,2022-07-14,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
30067,2022-11-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
30707,2022-07-29,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
31705,2023-01-18,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
32555,2022-10-21,checkout_monthly_completepayment.click.fail,"Your card does not support this type of purchase.",desktop,"monthly package"
33495,2022-09-19,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
33912,2022-11-26,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
34912,2023-01-19,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
35260,2022-11-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
36947,2022-11-21,checkout_coins_completepayment.click.fail,"number field is required",desktop,"single course"
37013,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
37015,2022-11-30,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
37614,2023-01-19,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
37777,2022-11-21,checkout_monthly_completepayment.click.fail,"number field is required",desktop,"monthly package"
39492,2022-11-28,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
40735,2022-07-25,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
40867,2022-11-30,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
41200,2023-01-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
42831,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
43005,2022-11-22,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
43168,2022-11-06,checkout_coins_completepayment.click.fail,"number field is required",desktop,"single course"
43604,2022-09-11,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
49292,2022-09-24,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile,"annual package"
49882,2022-11-27,checkout_annual_completepayment.click.fail,"Your card is not supported.",desktop,"annual package"
53122,2022-07-26,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
56469,2022-09-25,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
58456,2022-12-02,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
58558,2022-11-26,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
60411,2022-09-26,checkout_annual_completepayment.click.fail,"month field is required",desktop,"annual package"
60452,2022-07-25,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
63561,2022-11-24,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
63774,2022-12-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
64065,2022-09-25,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
67377,2022-09-30,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile,"annual package"
71856,2022-12-09,checkout_lifetime_completepayment.click.success,NULL,desktop,"lifetime package"
75080,2022-12-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
76939,2022-11-25,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
83266,2022-07-25,checkout_monthly_completepayment.click.fail,"State field is required",desktop,"monthly package"
84076,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
84641,2022-12-16,checkout_quarterly_completepayment.click.success,NULL,desktop,"quarterly package"
85181,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
85401,2022-07-28,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
88208,2023-01-21,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
89663,2022-11-25,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
91128,2022-07-26,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
91718,2022-11-06,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
96793,2023-01-18,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
97683,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
98065,2022-12-02,checkout_annual_completepayment.click.fail,"Chargify token not found",desktop,"annual package"
100706,2022-11-26,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
102023,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
105609,2022-07-26,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
105951,2023-01-26,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
106157,2022-11-27,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
108970,2023-01-24,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
109318,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
110519,2023-01-31,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
111461,2022-09-06,checkout_monthly_completepayment.click.fail,"Your card has expired.",desktop,"monthly package"
112053,2022-11-21,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
115682,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
116556,2022-07-27,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
116991,2022-12-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
117652,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
118426,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
120485,2023-01-08,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
121722,2022-12-01,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
121910,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
122477,2022-09-28,checkout_annual_completepayment.click.fail,"State field is required",desktop,"annual package"
124301,2022-10-06,checkout_monthly_completepayment.click.fail,"number field is required",mobile,"monthly package"
125191,2022-12-11,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
126002,2022-11-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
127258,2022-10-12,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
128082,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
130021,2022-10-25,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
131373,2022-07-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
132742,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
133768,2022-12-02,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
134064,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",desktop,"monthly package"
135321,2022-07-21,checkout_lifetime_completepayment.click.fail,"number field is required",desktop,"lifetime package"
135492,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
136640,2022-07-29,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
136851,2022-11-25,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
137618,2022-11-20,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
139273,2022-07-15,checkout_monthly_completepayment.click.success,NULL,mobile,"monthly package"
143010,2022-11-29,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
143012,2022-10-20,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
143214,2022-11-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
143432,2022-07-25,checkout_annual_completepayment.click.fail,"lastName field is required",mobile,"annual package"
143454,2022-09-01,checkout_monthly_completepayment.click.fail,"zip field is required",desktop,"monthly package"
143561,2022-07-30,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
143656,2022-08-31,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
143785,2022-07-25,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
144179,2022-07-19,checkout_quarterly_completepayment.click.fail,"Your card was declined.",desktop,"quarterly package"
144679,2022-11-12,checkout_coins_completepayment.click.fail,"number field is required",desktop,"single course"
144842,2022-11-30,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
145177,2023-01-03,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
145202,2022-11-09,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop,"monthly package"
145230,2022-08-30,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
145488,2022-12-22,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile,"annual package"
145723,2022-08-28,checkout_lifetime_completepayment.click.fail,"Your card was declined.",mobile,"lifetime package"
146220,2022-12-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
146322,2023-01-17,checkout_annual_completepayment.click.fail,"month field is required",desktop,"annual package"
146397,2022-08-31,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
146423,2022-10-31,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
146447,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
146603,2022-11-18,checkout_quarterly_completepayment.click.fail,"year field is required",desktop,"quarterly package"
146625,2022-11-29,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
146991,2022-12-20,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
147045,2022-08-30,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
147178,2022-08-30,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
147197,2022-12-06,checkout_monthly_completepayment.click.fail,"cvv field is required",desktop,"monthly package"
147305,2022-10-17,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
147579,2022-12-19,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
147625,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
147666,2022-08-31,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
147993,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
148246,2023-01-31,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
148290,2022-12-02,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
148439,2023-01-15,checkout_machine-learning-process-a-z_completepayment.click.success,NULL,desktop,"single course"
148775,2022-08-13,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
149213,2022-09-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
149325,2022-12-09,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
149472,2022-11-03,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
149639,2022-10-11,checkout_coins_completepayment.click.fail,"number field is required",mobile,"single course"
149652,2022-11-17,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
149950,2022-12-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
150335,2023-01-27,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
150745,2022-11-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
151197,2022-10-21,checkout_annual_completepayment.click.fail,"month field is required",mobile,"annual package"
152002,2023-01-18,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
152378,2022-11-28,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
153034,2022-09-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
153570,2023-01-18,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
154402,2022-09-19,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
154821,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
155640,2022-07-11,checkout_quarterly_completepayment.click.success,NULL,desktop,"quarterly package"
155712,2022-09-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
155845,2022-07-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
156038,2022-08-31,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
156099,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",mobile,"monthly package"
156409,2022-09-19,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
156428,2023-01-23,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
156660,2022-10-03,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop,"monthly package"
156680,2022-09-12,checkout_lifetime_completepayment.click.fail,"number field is required",desktop,"lifetime package"
156771,2023-01-20,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
156776,2022-10-21,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
156795,2022-07-05,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop,"monthly package"
157143,2023-01-03,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
157144,2022-11-26,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop,"annual package"
157226,2022-11-23,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
157722,2022-09-08,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
157791,2022-11-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
157808,2022-07-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
158113,2023-01-03,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
158196,2022-11-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
158211,2022-09-27,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
158612,2023-01-28,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
158724,2022-08-04,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop,"monthly package"
158970,2022-11-08,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
159195,2022-11-28,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
159772,2022-08-29,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
160366,2022-11-25,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
161329,2023-01-17,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
161346,2022-09-06,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
161426,2023-01-08,checkout_monthly_completepayment.click.fail,"Your card is not supported.",desktop,"monthly package"
161471,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
161714,2022-11-28,checkout_annual_completepayment.click.fail,"Chargify token not found",desktop,"annual package"
161742,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
161862,2023-01-29,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
161941,2022-08-15,checkout_monthly_completepayment.click.fail,"Your card is not supported.",desktop,"monthly package"
162320,2022-07-01,checkout_monthly_completepayment.click.fail,"State field is required",desktop,"monthly package"
163143,2022-12-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
163415,2022-09-07,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
163475,2022-11-28,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
163545,2022-11-28,checkout_annual_completepayment.click.fail,"lastName field is required",mobile,"annual package"
